Date,ID,Title,Artist,ISRC,Playcount,,
23/07/2021,1088499034,Pop Smoke - Back Door (feat. Quavo & Kodak Black),POP SMOKE,,265011,,
23/07/2021,1088499901,Pop Smoke - Whats Crackin (feat. Takeoff),POP SMOKE,,265779,,
23/07/2021,1088500150,Pop Smoke - Demeanor (feat. Dua Lipa),POP SMOKE,,272120,,
23/07/2021,1088498749,Pop Smoke - Spoiled (feat. Pharrell),POP SMOKE,,209743,,
23/07/2021,1088712565,Pop Smoke, The Neptunes - Top Shotta (feat. Pusha T,, TRAVI & Beam),POP SMOKE,201427
23/07/2021,1088498686,Pop Smoke - Good News,POP SMOKE,,175036,,
23/07/2021,1088501122,Pop Smoke - 8-Ball (feat. Kid Cudi),POP SMOKE,,183707,,
23/07/2021,1088498734,Pop Smoke - Woo Baby Interlude,POP SMOKE,,149300,,
23/07/2021,1088272225,Toosii - head over hills,Toosii,,171333,,
23/07/2021,1086870616,REPARATIONS! (Extended) [prod. Milanezie],KA$HDAMI,,162444,,
23/07/2021,1086195169,MIA,ssgkobe,,326722,,
23/07/2021,1088511160,ANY MEANS,2Floody,,124544,,
23/07/2021,1088882044,Problem Solvin,Lil Mosey,,98468,,
23/07/2021,1090451293,Kodak Black - Senseless,rapcomeup,,520842,,
23/07/2021,1088835961,Lurkin 2.0 - Funk Flex X King Von(feat. Polo G)(Remix),Adam Schkolnick,,85476,,
23/07/2021,1089519352,Ice box / 99 Problems (Prod. EvilGiane),Pasto Flocco,,36984,,
23/07/2021,1087550068,Act Up (Prod. JO$HTXYI),Kaine,,90321,,
23/07/2021,1086909592,Megalodon (Prod. Astroboy),DC The Don,,102063,,
23/07/2021,1086815260,AVERAGE! [prod. 1kSensei + fwthis1will + Milanezie],KA$HDAMI,,93209,,
23/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,1293822,,
23/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,2575291,,
23/07/2021,1084311661,Gossip ft. Too $hort (Prod. Uce Lee),Rob $TONE,,475945,,
23/07/2021,1088515609,Lil Gnar - No Regular,LIL GNAR,,67136,,
23/07/2021,1084381669,Motley Crew,Post Malone,,683676,,
23/07/2021,1084815142,Prada Remix (feat. Lil Tecca) [VIDEO IN DESC],BabySantana,,704779,,
23/07/2021,1089613903,p벣tivated,Yeat,,29153,,
23/07/2021,1088424214,Yung Nigga Shit (feat. YNW Gunna & Hotboii),YNW Melly,,48730,,
23/07/2021,1090435933,Monster! (prod. Maajins, Cgm),,Autumn! (Twinuzis),50939,
23/07/2021,1088512438,Blxst & Bino Rideaux - Pop Out,Blxst,,37588,,
23/07/2021,1086999838,The World is Yours,Slimesito,,81704,,
23/07/2021,1088699779,NOBODY,ZMG,,53944,,
23/07/2021,1088351158,HOUDINI,LESANE,,43133,,
23/07/2021,1090257544,Permission To Dance - BTS - Performance,quanghuy,,7003,,
23/07/2021,1088400013,On Tour,Tay Ball,,32488,,
23/07/2021,1088989591,Pop smoke - top shotta ft. Eli fross (ORIGINAL),Daydayyy,,19946,,
23/07/2021,1087009036,LLC,Money Man,,82359,,
23/07/2021,1086999472,Demon,Slimesito,,71506,,
23/07/2021,1088512369,Blxst & Bino Rideaux - Program,Blxst,,30489,,
23/07/2021,1087658602,Magic Stick,YN Jay,,35096,,
23/07/2021,1086379378,Not A Love Song,Pyrex Pryce,,51997,,
23/07/2021,1088512393,Blxst & Bino Rideaux - Might Do Well,Blxst,,29023,,
23/07/2021,1088512342,Blxst & Bino Rideaux - One Of Them Ones,Blxst,,29104,,
23/07/2021,1088687179,Royal Rumble (Prod. JO$HTXYI),Kaine,,26668,,
23/07/2021,1088938156,DANCE! FT. WASSUP ROCKER & CISCAUX (prod. okayjml & dustin)*NOW ON ALL PLATS*,?1nonly? (@n8thanfuller),,57834,,
23/07/2021,1087282882,Funk Flex, King Von,, Polo G - Lurkin (feat. Polo G) (Remix),Funk Flex,62733
